time,sentiment,social_score
2021-07-27,1.0,20415.0
2021-07-01,4.0,20357.0
2020-12-13,4.0,20261.0
2020-12-04,4.0,20218.0
2019-08-18,4.0,20133.0
2020-10-08,4.0,20041.0
2019-01-21,2.0,19995.0
2021-02-25,1.0,19954.0
2021-01-27,4.0,19524.0
2019-11-15,4.0,19251.0
2021-02-18,4.0,19212.0
2021-02-14,4.0,19170.0
2020-10-16,4.0,18947.0
2021-08-01,4.0,18826.0
2021-02-26,1.0,18349.0
2021-07-24,4.0,18094.0
2019-11-05,4.0,18077.0
2020-11-24,2.0,18018.0
2020-06-30,4.0,18005.0
2021-06-02,4.0,17895.0
2021-04-22,4.0,17770.0
2021-07-29,4.0,17741.0
2019-07-25,4.0,17617.0
2021-06-16,4.0,17604.0
2020-02-04,4.0,17453.0
2021-02-03,4.0,17429.0
2019-09-03,4.0,17337.0
2021-01-06,3.0,17276.0
2020-03-24,2.0,17158.0
2021-04-23,4.0,17122.0
2019-06-22,3.0,17000.0
2020-03-14,3.0,16859.0
2021-03-04,3.0,16818.0
2021-01-26,2.0,16749.0
2021-05-29,4.0,16684.0
2021-05-03,3.0,16488.0
2019-06-28,4.0,16358.0
2021-07-12,4.0,16348.0
2021-04-02,4.0,16304.0
2021-04-28,4.0,16220.0
2021-07-23,4.0,16141.0
2021-04-17,4.0,16099.0
2020-12-28,4.0,16038.0
2020-08-22,4.0,16025.0
2021-02-04,2.0,16009.0
2021-04-08,4.0,15813.0
2021-03-22,4.0,15679.0
2021-03-16,4.0,15678.0
2021-04-07,4.0,15568.0
2021-07-02,4.0,15559.0
2021-01-05,4.0,15507.0
2021-03-26,3.0,15424.0
2020-11-10,4.0,15385.0
2020-01-28,3.0,15309.0
2021-06-29,1.0,15282.0
2021-01-13,4.0,15276.0
2021-04-09,4.0,15228.0
2021-05-02,4.0,15111.0
2021-03-06,4.0,15025.0
2018-03-21,3.0,14956.0
2021-01-12,4.0,14945.0
2019-08-13,4.0,14708.0
2021-03-27,1.0,14541.0
2021-04-03,4.0,14438.0
2021-01-10,4.0,14327.0
2021-07-04,4.0,14293.0
2021-07-13,4.0,14267.0
2020-03-03,4.0,14108.0
2021-04-06,2.0,14048.0
2019-07-03,4.0,13960.0
2020-11-22,3.0,13893.0
2021-03-07,4.0,13855.0
2021-04-24,3.0,13771.0
2019-12-05,4.0,13662.0
2021-03-08,4.0,13456.0
2020-11-21,4.0,13314.0
2020-10-02,2.0,13308.0
2019-09-17,4.0,13194.0
2021-01-24,4.0,12961.0
2020-02-02,4.0,12913.0
2021-04-25,3.0,12711.0
2020-10-25,3.0,12710.0
2021-02-13,4.0,12624.0
2019-06-05,3.0,12583.0
2019-08-26,4.0,12544.0
2021-03-28,4.0,12528.0
2020-10-21,2.0,12518.0
2020-12-01,2.0,12478.0
2020-10-28,5.0,12426.0
2021-01-04,4.0,12398.0
2020-12-22,4.0,12363.0
2020-01-22,4.0,12302.0
2021-01-19,2.0,12272.0
2020-04-07,4.0,12194.0
2020-11-14,4.0,12193.0
2020-12-24,4.0,12107.0
2019-08-11,4.0,12032.0
2020-12-07,2.0,12020.0
2019-12-27,2.0,11884.0
2021-01-16,3.0,11860.0
2020-10-19,4.0,11787.0
2020-12-03,3.0,11761.0
2019-06-27,4.0,11539.0
2020-02-25,4.0,11518.0
2021-03-14,4.0,11505.0
2021-07-10,4.0,11389.0
2019-01-25,4.0,11317.0
2019-04-05,4.0,11213.0
2019-10-27,4.0,11152.0
2019-10-20,4.0,11083.0
2021-01-31,4.0,10984.0
2020-03-16,3.0,10969.0
2020-10-09,4.0,10869.0
2020-11-19,4.0,10830.0
2019-04-16,4.0,10705.0
2020-10-24,4.0,10657.0
2019-04-15,3.0,10583.0
2020-12-19,4.0,10493.0
2020-10-07,2.0,10486.0
2020-06-05,1.0,10473.0
2020-11-02,4.0,10254.0
2020-10-12,3.0,10034.0
2019-05-23,4.0,10032.0
2019-03-20,4.0,9994.0
2020-11-08,4.0,9756.0
2019-10-28,4.0,9740.0
2021-04-30,4.0,9725.0
2019-04-27,4.0,9692.0
2020-10-04,4.0,9676.0
2019-04-01,4.0,9663.0
2020-12-11,4.0,9558.0
2020-11-26,4.0,9531.0
2019-12-19,3.0,9455.0
2020-11-20,1.0,9413.0
2019-07-18,4.0,9405.0
2021-07-11,4.0,9401.0
2020-11-09,4.0,9349.0
2019-05-20,4.0,9341.0
2020-01-26,2.0,9254.0
2020-11-06,3.0,9098.0
2020-10-30,2.0,9085.0
2020-12-14,4.0,8910.0
2020-11-05,4.0,8900.0
2020-10-11,4.0,8856.0
2020-11-29,4.0,8831.0
2020-12-08,4.0,8819.0
2019-08-23,4.0,8705.0
2020-02-09,4.0,8700.0
2020-02-18,4.0,8534.0
2020-11-12,5.0,8513.0
2019-04-12,4.0,8509.0
2020-01-05,2.0,8506.0
2019-12-31,4.0,8479.0
2019-07-31,4.0,8467.0
2019-09-11,4.0,8446.0
2020-10-27,4.0,8412.0
2019-10-16,4.0,8355.0
2021-01-20,4.0,8314.0
2019-08-04,4.0,8293.0
2020-11-07,4.0,8273.0
2020-12-02,1.0,8265.0
2019-06-19,2.0,8225.0
2020-04-04,5.0,8202.0
2019-02-24,4.0,8123.0
2020-08-28,4.0,8107.0
2020-11-23,2.0,8097.0
2020-02-26,4.0,8086.0
2020-02-27,4.0,8061.0
2019-11-10,2.0,8059.0
2019-11-25,4.0,7994.0
2019-09-21,4.0,7984.0
2019-09-18,4.0,7959.0
2020-12-15,2.0,7956.0
2020-11-13,4.0,7905.0
2020-03-19,4.0,7831.0
2019-10-30,4.0,7811.0
2020-04-08,5.0,7747.0
2020-11-25,4.0,7736.0
2019-06-21,4.0,7728.0
2019-05-25,3.0,7719.0
2020-01-29,4.0,7700.0
2020-01-07,4.0,7698.0
2019-05-13,2.0,7697.0
2020-03-05,4.0,7691.0
2020-11-18,2.0,7571.0
2019-09-23,3.0,7525.0
2019-03-06,1.0,7505.0
2019-05-26,3.0,7491.0
2020-10-29,4.0,7432.0
2020-11-01,4.0,7404.0
2019-06-14,4.0,7366.0
2019-02-05,2.0,7311.0
2020-11-27,5.0,7310.0
2020-10-23,4.0,7180.0
2020-10-31,4.0,7170.0
2020-11-15,4.0,7161.0
2020-07-09,4.0,7098.0
2019-09-16,2.0,7098.0
2019-08-21,4.0,7076.0
2020-04-01,5.0,7072.0
2020-09-30,4.0,7066.0
2020-12-09,4.0,6986.0
2019-04-24,2.0,6983.0
2020-02-10,2.0,6974.0
2019-09-24,4.0,6935.0
2019-03-07,4.0,6929.0
2019-11-01,3.0,6918.0
2019-10-19,4.0,6905.0
2020-11-03,4.0,6858.0
2019-08-14,4.0,6853.0
2019-08-28,3.0,6783.0
2020-03-26,5.0,6782.0
2019-11-04,4.0,6667.0
2019-08-05,4.0,6586.0
2019-11-09,4.0,6576.0
2020-11-28,4.0,6543.0
2019-12-30,4.0,6516.0
2020-11-04,4.0,6496.0
2021-08-03,4.0,6488.0
2019-10-11,4.0,6476.0
2019-07-17,4.0,6462.0
2019-04-29,4.0,6450.0
2019-02-28,4.0,6414.0
2019-06-26,4.0,6383.0
2020-02-05,4.0,6351.0
2020-03-12,4.0,6305.0
2019-06-17,4.0,6253.0
2019-05-09,2.0,6222.0
2020-10-06,4.0,6204.0
2019-09-09,1.0,6176.0
2019-07-22,2.0,6171.0
2020-02-13,4.0,6169.0
2020-04-13,2.0,6132.0
2019-07-12,1.0,6124.0
2019-08-19,1.0,5974.0
2020-06-26,4.0,5870.0
2019-11-11,4.0,5863.0
2019-10-15,1.0,5819.0
2020-03-22,2.0,5818.0
2019-10-09,4.0,5800.0
2019-07-16,2.0,5732.0
2020-04-10,4.0,5725.0
2020-08-17,4.0,5725.0
2019-01-07,4.0,5687.0
2020-01-17,3.0,5669.0
2019-11-08,4.0,5587.0
2019-11-22,5.0,5556.0
2019-06-18,3.0,5554.0
2019-07-08,4.0,5546.0
2019-04-13,3.0,5536.0
2019-02-26,3.0,5533.0
2019-03-22,4.0,5518.0
2020-07-17,2.0,5513.0
2019-02-07,4.0,5499.0
2020-12-05,4.0,5487.0
2019-09-12,4.0,5470.0
2019-08-09,4.0,5457.0
2019-07-21,4.0,5446.0
2020-10-01,4.0,5445.0
2019-12-29,4.0,5374.0
2019-01-02,3.0,5366.0
2019-10-31,3.0,5362.0
2020-10-20,4.0,5349.0
2019-03-09,3.0,5325.0
2019-11-03,4.0,5276.0
2020-05-12,4.0,5237.0
2020-10-17,4.0,5236.0
2019-06-10,3.0,5211.0
2019-08-12,3.0,5164.0
2019-02-12,4.0,5140.0
2019-05-04,4.0,5139.0
2019-11-29,3.0,5139.0
2019-08-07,4.0,5138.0
2019-05-27,4.0,5118.0
2020-12-06,4.0,5109.0
2020-01-31,4.0,5086.0
2019-06-20,1.0,5083.0
2019-10-17,4.0,5043.0
2019-05-16,1.0,5030.0
2020-01-14,4.0,5019.0
2019-11-17,1.0,4961.0
2019-10-26,4.0,4953.0
2019-09-01,2.0,4934.0
2019-11-19,4.0,4933.0
2019-05-15,2.0,4913.0
2019-11-13,3.0,4912.0
2020-09-02,4.0,4897.0
2019-07-05,4.0,4854.0
2020-03-27,4.0,4849.0
2019-11-07,1.0,4839.0
2019-09-25,3.0,4834.0
2019-03-28,2.0,4826.0
2020-10-03,4.0,4787.0
2020-05-27,4.0,4779.0
2019-11-18,4.0,4765.0
2019-08-29,4.0,4763.0
2019-08-16,4.0,4757.0
2019-09-02,4.0,4757.0
2019-11-20,4.0,4756.0
2019-02-14,2.0,4740.0
2019-04-11,4.0,4725.0
2020-08-21,5.0,4690.0
2020-03-30,3.0,4684.0
2019-06-25,1.0,4669.0
2019-08-02,4.0,4648.0
2019-07-19,4.0,4647.0
2019-03-26,4.0,4634.0
2019-04-23,2.0,4584.0
2019-01-04,4.0,4582.0
2019-02-06,4.0,4575.0
2020-01-20,4.0,4572.0
2019-01-28,2.0,4544.0
2019-12-10,3.0,4543.0
2019-10-10,4.0,4536.0
2020-03-25,4.0,4531.0
2020-10-05,4.0,4524.0
2020-05-08,2.0,4490.0
2020-07-10,4.0,4448.0
2020-09-06,4.0,4435.0
2020-03-09,4.0,4429.0
2020-03-01,4.0,4397.0
2020-10-18,4.0,4383.0
2019-05-02,4.0,4379.0
2020-03-11,4.0,4379.0
2019-06-23,4.0,4367.0
2019-05-28,2.0,4333.0
